Difficulty,Question,OptionA,OptionB,OptionC,OptionD,Answer
1,"What is the next number in the series: 2, 4, 6, 8, ?","9","10","12","11",B
1,"If all roses are flowers and some flowers fade quickly, can it be inferred that some roses fade quickly?","Yes","No","Cannot be determined","Always",C
1,"Which shape has 4 equal sides?","Square","Rectangle","Triangle","Circle",A
1,"If John is older than Sam, and Sam is older than Tim, who is the youngest?","John","Sam","Tim","Cannot be determined",C
1,"What is the next letter in the series: A, C, E, G, ?","H","I","J","K",B
1,"Which number is odd?","2","4","5","8",C
1,"Which one of these is not like the others?","Apple","Banana","Carrot","Mango",C
1,"If two items cost $10 each, how much do three items cost?","$10","$20","$30","$40",C
1,"What is the missing number in the series: 1, 3, 5, 7, ?","8","9","10","11",B
1,"Which word is the antonym of 'difficult'?","Hard","Simple","Complex","Tough",B
1,"Which number is a multiple of both 3 and 5?","10","15","18","20",B
1,"If it takes 2 hours to travel 100 miles, how long will it take to travel 50 miles at the same speed?","0.5 hours","1 hour","1.5 hours","2 hours",B
1,"If you rearrange the letters 'L I S T E N', you get which word?","Silent","Listen","Enlist","All of the above",D
1,"What is the next number in the series: 5, 10, 15, 20, ?","25","30","35","40",A
1,"Which of the following is a prime number?","4","6","7","9",C
1,"If a car travels 60 miles in 1 hour, how far will it travel in 3 hours?","120 miles","180 miles","200 miles","240 miles",B
1,"Which of these fractions is equivalent to 1/2?","2/4","3/4","1/3","2/3",A
1,"If today is Monday, what day will it be tomorrow?","Tuesday","Wednesday","Thursday","Friday",A
1,"Which one is the smallest number?","0.5","0.05","5","0.005",D
1,"If you multiply any number by 0, the result is:","0","1","the number itself","Undefined",A
1,"Which number comes next in the series: 1, 1, 2, 3, 5, ?","6","7","8","13",C
1,"Which shape has three sides?","Square","Triangle","Circle","Rectangle",B
1,"If a = 2 and b = 3, what is a + b?","4","5","6","7",B
1,"What is the next letter in the series: B, D, F, H, ?","I","J","K","L",B
1,"Which of the following is spelled correctly?","Recieve","Receive","Recive","Receeve",B
1,"If a clock shows 3:00, what is the angle between the hour and minute hands?","90°","180°","0°","45°",B
1,"Which option best completes the sequence: 10, 20, 30, ?, 50","35","40","45","50",B
1,"What is the missing number: 2, 4, 8, 16, ?","24","32","20","18",B
1,"If it takes 3 minutes to boil an egg, how many eggs can be boiled in 9 minutes (one at a time)?","2","3","4","6",B
1,"What is the next number in the series: 3, 6, 9, 12, ?","13","14","15","16",C
1,"Which of the following is not a logical fallacy?","Straw man","Red herring","Appeal to authority","Valid argument",D
1,"Which statement is true: All squares are rectangles, or some rectangles are not squares?","All squares are rectangles","Some rectangles are not squares","Both A and B","Neither",C
1,"If every A is B and every B is C, then every A is:","A","B","C","Not necessarily C",C
1,"In a typical syllogism, the major premise is:","The conclusion","The general statement","The specific observation","A hypothesis",B
1,"Which of the following best describes deductive reasoning?","Reasoning from the general to the specific","Reasoning from the specific to the general","Making guesses","Random thinking",A
1,"Which of these is an example of an analogy?","Apple is to fruit as carrot is to vegetable","Cat is to dog as tree is to flower","Both A and B","None",A
1,"If some X are Y and some Y are Z, can we conclude that some X are Z?","Yes","No","Always","Cannot be determined",D
1,"What is the logical opposite of the statement: 'All birds can fly'?","No birds can fly","Some birds cannot fly","All birds cannot fly","Some birds can fly",B
1,"If a statement is true, then its contrapositive is:","True","False","Unrelated","Sometimes true",A
