Difficulty,Question,OptionA,OptionB,OptionC,OptionD,Answer
1,Which is the largest ocean in the world?,Atlantic Ocean,Indian Ocean,Pacific Ocean,Arctic Ocean,C
1,Which country hosted the 2016 Summer Olympics?,China,Brazil,United Kingdom,Russia,B
1,Who wrote the play 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,A
1,What is the capital city of Australia?,Sydney,Melbourne,Canberra,Brisbane,C
1,In which year did World War II end?,1945,1939,1918,1963,A
1,What is the chemical symbol for gold?,Au,Ag,Fe,Pb,A
1,Which planet is known as the Red Planet?,Earth,Mars,Jupiter,Saturn,B
1,What is the currency of Japan?,Yuan,Yen,Won,Dollar,B
1,Who painted the Mona Lisa?,Pablo Picasso,Leonardo da Vinci,Vincent van Gogh,Claude Monet,B
1,Which is the smallest country in the world by area?,Monaco,Vatican City,Nauru,San Marino,B
1,What is the tallest mountain in the world?,K2,Mount Everest,Kangchenjunga,Lhotse,B
1,What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,A
1,Who is known as the Father of Modern Physics?,Isaac Newton,Albert Einstein,Galileo Galilei,Nikola Tesla,B
1,What is the primary ingredient in guacamole?,Tomato,Avocado,Onion,Pepper,B
1,Which country is famous for the Eiffel Tower?,Italy,Germany,France,Spain,C
1,Which continent is known as the 'Dark Continent'?,Asia,Africa,Europe,South America,B
1,Which U.S. state is known as the 'Sunshine State'?,California,Florida,Texas,Arizona,B
1,Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Nikola Tesla,Guglielmo Marconi,A
1,Which is the most widely spoken language in the world?,English,Spanish,Mandarin Chinese,Hindi,C
1,Which natural disaster is measured with a Richter scale?,Tornado,Earthquake,Hurricane,Flood,B
1,"Which instrument has keys, pedals, and strings?",Guitar,Violin,Piano,Flute,C
1,Who is the founder of Microsoft?,Steve Jobs,Bill Gates,Mark Zuckerberg,Larry Page,B
1,What is the hardest natural substance on Earth?,Gold,Diamond,Iron,Quartz,B
1,Which planet is known for its rings?,Mars,Venus,Saturn,Jupiter,C
1,Which country is home to the kangaroo?,South Africa,Australia,India,Brazil,B
1,Who discovered penicillin?,Marie Curie,Alexander Fleming,Louis Pasteur,Gregor Mendel,B
1,Which gas do plants primarily absorb from the atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,B
1,Which ocean is Bermuda located in?,Atlantic Ocean,Pacific Ocean,Indian Ocean,Arctic Ocean,A
1,What is the largest desert in the world?,Sahara,Gobi,Kalahari,Arabian,A
1,Which famous ship sank in 1912 after hitting an iceberg?,RMS Queen Mary,RMS Titanic,HMS Lusitania,SS Andrea Doria,B
1,Who was the first person to step on the Moon?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,Michael Collins,A
1,Which element has the atomic number 1?,Oxygen,Hydrogen,Helium,Carbon,B
1,What is the largest planet in our solar system?,Earth,Saturn,Jupiter,Uranus,C
1,Which animal is known as the 'King of the Jungle'?,Tiger,Elephant,Lion,Gorilla,C
1,Which country gifted the Statue of Liberty to the United States?,United Kingdom,France,Spain,Germany,B
1,What is the national sport of Japan?,Soccer,Sumo Wrestling,Baseball,Judo,B
1,Which famous scientist developed the theory of relativity?,Isaac Newton,Albert Einstein,Stephen Hawking,Galileo Galilei,B
1,Which fruit is known as the 'king of fruits' in Southeast Asia?,Mango,Durian,Pineapple,Papaya,B
1,"Which famous tower is located in Pisa, Italy?",Eiffel Tower,Leaning Tower of Pisa,CN Tower,Big Ben,B
1,What is the capital of Canada?,Toronto,Vancouver,Ottawa,Montreal,C
1,Which element is essential for the production of nuclear energy?,Uranium,Helium,Iron,Silicon,A
1,Which planet is closest to the Sun?,Venus,Earth,Mercury,Mars,C
2,Which U.S. state is known as the 'Empire State'?,New York,California,Texas,Florida,A
2,What is the capital of Spain?,Barcelona,Madrid,Valencia,Seville,B
2,Which river flows through London?,Thames,Seine,Danube,Rhine,A
2,Who was the first female Prime Minister of the United Kingdom?,Theresa May,Margaret Thatcher,Angela Merkel,Indira Gandhi,B
2,Which continent is the country of Egypt located in?,Asia,Africa,Europe,South America,B
2,Which famous battle took place in 1066 in England?,Battle of Hastings,Battle of Agincourt,Battle of Waterloo,Battle of Bannockburn,A
2,What is the largest island in the world?,Madagascar,Greenland,Borneo,New Guinea,B
2,Which desert is the largest hot desert in the world?,Sahara,Arabian,Gobi,Kalahari,A
2,Who wrote '1984' and 'Animal Farm'?,Aldous Huxley,George Orwell,Ray Bradbury,J.D. Salinger,B
2,Which city is known as the 'City of Love'?,Rome,Paris,Venice,New York,B
2,What is the official language of Brazil?,Spanish,English,Portuguese,French,C
2,Which organ in the human body is responsible for pumping blood?,Brain,Lungs,Heart,Liver,C
2,What is the largest mammal in the world?,Elephant,Blue Whale,Giraffe,Hippopotamus,B
2,Who is known as the 'Queen of Pop'?,Madonna,Britney Spears,Lady Gaga,Beyoncé,A
2,What is the boiling point of water at sea level in Celsius?,90°C,95°C,100°C,105°C,C
2,Which famous structure in India is known as a symbol of love?,Qutub Minar,Red Fort,Taj Mahal,India Gate,C
2,Who painted 'Starry Night'?,Pablo Picasso,Leonardo da Vinci,Vincent van Gogh,Claude Monet,C
2,What is the largest internal organ in the human body?,Heart,Liver,Lungs,Kidney,B
2,Which country is known for inventing pizza?,France,Italy,Spain,Greece,B
2,Which element is denoted by the symbol 'O'?,Gold,Oxygen,Osmium,Zinc,B
2,What is the capital city of Russia?,Saint Petersburg,Moscow,Novosibirsk,Yekaterinburg,B
2,Which U.S. president is featured on the $100 bill?,Abraham Lincoln,Benjamin Franklin,George Washington,Thomas Jefferson,B
2,Which country is famous for the Great Pyramids?,Mexico,Egypt,Peru,India,B
2,What is the largest lake in Africa?,Lake Victoria,Lake Tanganyika,Lake Malawi,Lake Chad,A
2,Which famous festival is celebrated with colors in India?,Diwali,Holi,Eid,Christmas,B
2,Which is the deepest part of the world's oceans?,Mariana Trench,Tonga Trench,Java Trench,Philippine Trench,A
2,Who is credited with the discovery of gravity?,Albert Einstein,Isaac Newton,Galileo Galilei,Johannes Kepler,B
2,Which country is known as the Land of the Rising Sun?,China,Japan,South Korea,Thailand,B
2,Which invention is Thomas Edison best known for?,Telephone,Light Bulb,Airplane,Automobile,B
2,What is the primary ingredient in traditional Japanese sushi?,Beef,Rice,Bread,Pasta,B
2,Which famous scientist developed the theory of evolution by natural selection?,Gregor Mendel,Charles Darwin,Louis Pasteur,Carl Linnaeus,B
2,Which country is known for its maple syrup?,USA,Canada,Australia,France,B
2,Which bird is known for its colorful plumage and ability to mimic sounds?,Parrot,Eagle,Penguin,Sparrow,A
2,Which gas is most abundant in the Earth's atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Argon,B
2,What is the main ingredient in traditional hummus?,Chickpeas,Lentils,Black beans,Peas,A
2,Which country is home to the kangaroo?,South Africa,Australia,India,Brazil,B
2,Who is the author of the 'Harry Potter' series?,J.R.R. Tolkien,J.K. Rowling,Stephen King,George R.R. Martin,B
2,What is the smallest bone in the human body?,Femur,Stapes,Tibia,Ulna,B
2,Which country is known for the samba dance?,Argentina,Spain,Brazil,Italy,C
2,What is the process by which plants make their food called?,Respiration,Photosynthesis,Transpiration,Digestion,B
2,Who was the ancient Greek god of the sea?,Zeus,Hades,Poseidon,Apollo,C
2,Which vitamin is primarily obtained from sunlight?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,D
3,Which country has the highest number of UNESCO World Heritage Sites?,Italy,China,Spain,France,A
3,What is the smallest planet in our solar system?,Mercury,Mars,Venus,Pluto,A
3,Which element has the highest melting point?,Tungsten,Iron,Carbon,Nickel,A
3,Who was the first woman to win a Nobel Prize?,Marie Curie,Rosalind Franklin,Mother Teresa,Jane Goodall,A
3,In which year did the Berlin Wall fall?,1989,1991,1987,1990,A
3,What is the capital city of New Zealand?,Auckland,Wellington,Christchurch,Hamilton,B
3,Which empire was ruled by Genghis Khan?,Ottoman Empire,Mongol Empire,Roman Empire,Persian Empire,B
3,Which ancient wonder was located in the city of Alexandria?,Colossus of Rhodes,Lighthouse of Alexandria,Statue of Zeus at Olympia,Temple of Artemis,B
3,What is the main language spoken in Iran?,Arabic,Turkish,Persian,Kurdish,C
3,Which philosopher wrote 'The Republic'?,Aristotle,Plato,Socrates,Epicurus,B
3,Which famous battle is considered a turning point in the Napoleonic Wars?,Battle of Trafalgar,Battle of Waterloo,Battle of Austerlitz,Battle of Borodino,B
3,Which country is the largest producer of coffee in the world?,Colombia,Vietnam,Brazil,Ethiopia,C
3,Who developed the general theory of relativity?,Isaac Newton,Albert Einstein,Galileo Galilei,Niels Bohr,B
3,Which sea creature is known for having three hearts?,Octopus,Squid,Shark,Dolphin,A
3,Which city is known as the 'Pearl of the Danube'?,Vienna,Budapest,Prague,Belgrade,B
3,What is the most widely consumed manufactured drink in the world?,Coffee,Tea,Soda,Beer,B
3,Which country was formerly known as Abyssinia?,Ethiopia,Somalia,Sudan,Eritrea,A
3,Who was the first person to circumnavigate the globe?,Christopher Columbus,Ferdinand Magellan,Vasco da Gama,James Cook,B
3,Which element is known as the 'king of chemicals' due to its wide use in fertilizers?,Nitrogen,Phosphorus,Potassium,Calcium,A
3,Which country is known for the ancient Incan city of Machu Picchu?,Peru,Bolivia,Ecuador,Chile,A
3,What is the currency of South Korea?,Yen,Won,Dollar,Pound,B
3,Which ancient civilization built the pyramids in Egypt?,Romans,Greeks,Egyptians,Persians,C
3,Which war is often referred to as 'The Great War'?,World War II,World War I,The Cold War,The Vietnam War,B
3,Which ancient civilization is credited with creating the earliest form of writing known as cuneiform?,Egyptians,Sumerians,Chinese,Mayans,B
3,What is the name of the longest river in Europe?,Volga,Danube,Rhine,Elbe,A
3,Which famous explorer is credited with discovering America in 1492?,Christopher Columbus,Ferdinand Magellan,Vasco da Gama,Amerigo Vespucci,A
3,Which country is known as the Land of a Thousand Lakes?,Norway,Finland,Sweden,Canada,B
3,"What is the name of the largest volcano in the world, located in Hawaii?",Mauna Loa,Kilauea,Mount St. Helens,Mount Vesuvius,A
3,Who composed the famous classical piece 'The Four Seasons'?,Ludwig van Beethoven,Antonio Vivaldi,Wolfgang Amadeus Mozart,Johann Sebastian Bach,B
3,Which Asian country is known as the 'Land of the Thunder Dragon'?,Nepal,Bhutan,Mongolia,Sri Lanka,B
3,Which city hosted the first modern Olympic Games in 1896?,Athens,Paris,London,Rome,A
3,Which British author wrote the 'Harry Potter' series?,J.R.R. Tolkien,C.S. Lewis,J.K. Rowling,Roald Dahl,C
3,"Which U.S. state is known for its significant tech industry, centered in Silicon Valley?",Texas,New York,California,Washington,C
3,Which African country is known as the 'Giant of Africa' due to its population size?,Nigeria,Ethiopia,Egypt,South Africa,A
3,What is the name of the phenomenon when a country experiences rapid industrial growth?,Economic stagnation,Industrial revolution,Economic boom,Urbanization,C
3,Which country is home to the ancient city of Petra?,Jordan,Israel,Lebanon,Syria,A
