Difficulty,Question,OptionA,OptionB,OptionC,OptionD,Answer
1,"Which ancient civilization is known as the 'Cradle of Civilization'?",Mesopotamia,Indus Valley,Ancient Egypt,Ancient China,A
1,"Which river was central to the development of Ancient Egypt?",Nile,Tigris,Euphrates,Indus,A
1,"Who was the first emperor of Rome?",Julius Caesar,Augustus,Nero,Caligula,B
1,"Which ancient civilization built the pyramids?",Ancient Egypt,Ancient Greece,Roman Empire,Mesopotamia,A
1,"What is the name of the period in European history following the Middle Ages?",Renaissance,Enlightenment,Industrial Revolution,Modern Era,A
1,"Which explorer is credited with discovering America in 1492?",Ferdinand Magellan,Christopher Columbus,Vasco da Gama,John Cabot,B
1,"Which empire was ruled by Genghis Khan?",Ottoman Empire,Mongol Empire,Roman Empire,Persian Empire,B
1,"Which event started World War I?",Assassination of Archduke Franz Ferdinand,Invasion of Poland,Bombing of Pearl Harbor,Russian Revolution,A
1,"Which wall was built to protect the Roman Empire from invasions?",Great Wall of China,Hadrian's Wall,Berlin Wall,Antonine Wall,B
1,"Who was the Russian mystic known for his influence over the Romanovs?",Rasputin,Lenin,Trotsky,Stalin,A
1,"Which war was fought between the North and South regions in the United States?",World War I,American Civil War,Revolutionary War,Mexican-American War,B
1,"What document declared the independence of the United States?",Bill of Rights,Declaration of Independence,Constitution,Emancipation Proclamation,B
1,"Who was the first President of the United States?",Abraham Lincoln,George Washington,Thomas Jefferson,John Adams,B
1,"Which country was formerly known as Persia?",Iraq,Iran,Turkey,Syria,B
1,"What was the primary language of the Roman Empire?",Greek,Latin,Arabic,Hebrew,B
1,"Which ancient civilization is credited with inventing writing?",Sumerians,Egyptians,Romans,Greeks,A
1,"Which queen was known for her relationships with Julius Caesar and Mark Antony?",Cleopatra,Nefertiti,Hatshepsut,Catherine the Great,A
1,"Which empire was known as the 'Sun Never Sets' empire?",British Empire,Ottoman Empire,Mongol Empire,Spanish Empire,A
1,"Which war ended with the signing of the Treaty of Versailles?",World War I,World War II,Korean War,Vietnam War,A
1,"Who wrote the influential book 'The Communist Manifesto'?",Karl Marx,Vladimir Lenin,Adam Smith,Friedrich Engels,A
1,"Which civilization built Machu Picchu?",Aztec,Inca,Maya,Olmec,B
1,"Which conflict is known as 'The Great War'?",World War I,World War II,Korean War,Vietnam War,A
1,"Who was the leader of Nazi Germany?",Adolf Hitler,Benito Mussolini,Joseph Stalin,Francisco Franco,A
1,"Which battle is considered a turning point in the Napoleonic Wars?",Battle of Waterloo,Battle of Trafalgar,Battle of Austerlitz,Battle of Borodino,A
1,"What was the primary cause of the American Revolution?",Taxation without representation,Slavery,Religious differences,Foreign invasion,A
1,"Which ancient civilization constructed the Parthenon?",Ancient Egypt,Ancient Rome,Ancient Greece,Ancient Persia,C
1,"What was the name of the ship that carried the Pilgrims to America in 1620?",Santa Maria,Mayflower,Endeavour,Discovery,B
1,"Who was the famous female pharaoh of Ancient Egypt?",Cleopatra,Hatshepsut,Nefertiti,Sobekneferu,B
1,"Which empire was known for its extensive road network, including the Royal Road?",Roman Empire,Persian Empire,Mongol Empire,Mayan Empire,B
1,"Which invention is Johannes Gutenberg famous for?",Telephone,Printing Press,Steam Engine,Compass,B
1,"Which treaty ended the Thirty Years' War in Europe?",Treaty of Westphalia,Treaty of Utrecht,Treaty of Paris,Treaty of Tordesillas,A
1,"Which ancient civilization is credited with the development of democracy?",Ancient Rome,Ancient Greece,Ancient Egypt,Ancient China,B
1,"Who was the British Prime Minister during most of World War II?",Winston Churchill,Neville Chamberlain,Clement Attlee,Margaret Thatcher,A
1,"Which movement sought to end racial segregation in the United States?",Feminist Movement,Civil Rights Movement,Labor Movement,Environmental Movement,B
1,"What was the primary purpose of the Berlin Wall?",To protect East Germany from invasion,To prevent mass emigration from East Berlin,To separate East and West Germany,To mark the border between Germany and Poland,C
1,"Which document outlines the fundamental rights of Indian citizens?",Indian Penal Code,Indian Constitution,Government of India Act,Charter of Demands,B
1,"Which document is considered the cornerstone of American democracy?",Declaration of Independence,Constitution,Bill of Rights,Emancipation Proclamation,B
1,"Which empire fell in 476 AD, marking the end of ancient Rome?",Eastern Roman Empire,Western Roman Empire,Byzantine Empire,Ottoman Empire,B
1,"Who led the nonviolent movement for Indian independence?",Jawaharlal Nehru,Mahatma Gandhi,Subhas Chandra Bose,Bhagat Singh,B
1,"Which period in European history saw a revival of art and learning?",Renaissance,Middle Ages,Baroque,Enlightenment,A
1,"Who was the first European explorer to reach India by sea?",Christopher Columbus,Ferdinand Magellan,Vasco da Gama,John Cabot,C
1,"What was the primary cause of the French Revolution?",Taxation and social inequality,Religious conflicts,Foreign invasion,Economic prosperity,A
1,"Which document granted religious and political freedoms in England in 1215?",Magna Carta,Bill of Rights,Declaration of Independence,English Civil Code,A
2,"Which ancient civilization is credited with the construction of Stonehenge?",Celts,Ancient Britons,Romans,Anglo-Saxons,B
2,"Who was the successor of Genghis Khan that expanded the Mongol Empire further?",Ogedei Khan,Kublai Khan,Tolui,Chagatai Khan,A
2,"Which ancient text is considered the earliest form of law?",Code of Hammurabi,Magna Carta,Talmud,Roman Law,A
2,"What was the primary cause of the Punic Wars?",Trade rivalry,Religious differences,Territorial expansion,Dynastic disputes,A
2,"Which monarch established the Church of England?",Henry VIII,Elizabeth I,James I,Charles I,A
2,"Which treaty ended the Thirty Years' War?",Treaty of Westphalia,Treaty of Utrecht,Treaty of Paris,Treaty of Versailles,A
2,"Which movement aimed to reform the Roman Catholic Church in the 16th century?",Counter-Reformation,Reformation,Enlightenment,Industrial Revolution,A
2,"Who was the leader of the Soviet Union during World War II?",Joseph Stalin,Nikita Khrushchev,Leon Trotsky,Vladimir Lenin,A
2,"Which event marked the beginning of the Cold War?",Cuban Missile Crisis,Berlin Blockade,Korean War,Vietnam War,B
2,"What was the primary objective of the Marshall Plan?",Rebuild European economies,Defeat communism,Establish NATO,Support decolonization,A
2,"Which ancient civilization is famous for the construction of the Colosseum?",Greek,Roman,Egyptian,Persian,B
2,"Which battle is considered the turning point of World War II in the Pacific?",Battle of Midway,Battle of Iwo Jima,Battle of Guadalcanal,Battle of Okinawa,A
2,"Who was the leader of the Indian independence movement known for nonviolence?",Jawaharlal Nehru,Mahatma Gandhi,Subhas Chandra Bose,Bhagat Singh,B
2,"Which ancient philosopher taught Alexander the Great?",Socrates,Plato,Aristotle,Pythagoras,C
2,"What year did the Berlin Wall fall?",1987,1989,1991,1993,B
2,"Which empire was ruled by Suleiman the Magnificent?",Ottoman Empire,Roman Empire,Mughal Empire,Byzantine Empire,A
2,"What event triggered the start of World War I?",Assassination of Archduke Franz Ferdinand,Invasion of Poland,Sinking of the Lusitania,Russian Revolution,A
2,"Which civilization built the city of Carthage?",Phoenicians,Romans,Greeks,Egyptians,A
2,"What is the significance of the Magna Carta?",It established the British Empire,It limited the power of the king,It ended the feudal system,It introduced parliamentary democracy,B
2,"Who was the first female Prime Minister of a major country?",Golda Meir,Indira Gandhi,Margaret Thatcher,Benazir Bhutto,C
2,"Which revolution led to the rise of Napoleon Bonaparte?",French Revolution,Russian Revolution,Industrial Revolution,American Revolution,A
2,"Which ancient wonder was located in Babylon?",Hanging Gardens,Great Pyramid,Colossus of Rhodes,Lighthouse of Alexandria,A
2,"What was the main focus of the Enlightenment?",Religious fervor,Reason and individualism,Monarchical power,Agricultural development,B
2,"Which war was fought between the communist and capitalist forces in Korea?",Vietnam War,Korean War,Cold War,Gulf War,B
2,"Which battle marked the defeat of Napoleon in 1815?",Battle of Austerlitz,Battle of Waterloo,Battle of Borodino,Battle of Trafalgar,B
2,"Which ancient philosopher wrote 'The Republic'?",Plato,Aristotle,Socrates,Heraclitus,A
2,"Which major event is considered the beginning of the Industrial Revolution?",Invention of the steam engine,Discovery of electricity,Development of the printing press,French Revolution,A
2,"What was the main purpose of the Council of Trent?",To reform the Protestant Church,To respond to the Protestant Reformation,To launch the Crusades,To expand colonial territories,B
