Difficulty,Question,OptionA,OptionB,OptionC,OptionD,Answer
1,"Which is the capital of Pakistan?","Islamabad","Lahore","Karachi","Peshawar",A
1,"What is the national language of Pakistan?","Urdu","Punjabi","Sindhi","Pashto",A
1,"Which province is the largest by area in Pakistan?","Balochistan","Punjab","Sindh","Khyber Pakhtunkhwa",A
1,"In which year did Pakistan gain independence?","1947","1946","1958","1965",A
1,"Who is known as the Father of the Nation in Pakistan?","Muhammad Ali Jinnah","Allama Iqbal","Liaquat Ali Khan","Zulfikar Ali Bhutto",A
1,"Which is the largest city in Pakistan by population?","Karachi","Lahore","Islamabad","Quetta",A
1,"What is the currency of Pakistan?","Pakistani Rupee","US Dollar","Euro","British Pound",A
1,"Which sea borders Pakistan to the south?","Arabian Sea","Red Sea","Mediterranean Sea","Bay of Bengal",A
1,"What is the national animal of Pakistan?","Markhor","Snow Leopard","Chukar","Ibex",A
1,"What is the national flower of Pakistan?","Jasmine","Rose","Tulip","Sunflower",A
1,"What is the official name of Pakistan?","Islamic Republic of Pakistan","People's Republic of Pakistan","Federal Republic of Pakistan","Kingdom of Pakistan",A
1,"Which river is considered the lifeline of Pakistan?","Indus River","Ganges","Jhelum","Chenab",A
1,"Who was the first Prime Minister of Pakistan?","Liaquat Ali Khan","Muhammad Ali Jinnah","Zulfikar Ali Bhutto","Benazir Bhutto",A
1,"Which province is renowned for its Punjabi culture?","Punjab","Sindh","Balochistan","Khyber Pakhtunkhwa",A
1,"Which province is the most populous in Pakistan?","Punjab","Sindh","Khyber Pakhtunkhwa","Balochistan",A
1,"What is the official national sport of Pakistan?","Field Hockey","Cricket","Football","Squash",A
1,"Which mountain range, partly in Pakistan, is known for its high peaks?","Karakoram Range","Alps","Himalayas","Andes",A
1,"Which famous mountain in Pakistan is the second highest in the world?","K2","Nanga Parbat","Broad Peak","Gasherbrum I",A
1,"Which city is often called the 'City of Lights' in Pakistan?","Karachi","Lahore","Islamabad","Peshawar",A
1,"Which event is celebrated on 14th August in Pakistan?","Independence Day","Republic Day","Defence Day","Pakistan Day",A
1,"Which symbol is prominently featured on Pakistan’s flag?","Crescent and Star","Lion","Eagle","Cross",A
1,"Who is revered as the spiritual visionary of Pakistan?","Allama Iqbal","Muhammad Ali Jinnah","Faiz Ahmed Faiz","Nusrat Fateh Ali Khan",A
1,"Which body of water lies to the south of Pakistan?","Arabian Sea","Indian Ocean","Pacific Ocean","Atlantic Ocean",A
1,"Which city is known as the financial hub of Pakistan?","Karachi","Lahore","Islamabad","Faisalabad",A
1,"Which festival marks the end of Ramadan in Pakistan?","Eid-ul-Fitr","Eid-ul-Adha","Independence Day","Basant",A
