Difficulty,Question,OptionA,OptionB,OptionC,OptionD,Answer
1,"Which is the chemical symbol for water?","H2O","HO2","O2","CO2",A
1,"Which planet is known as the Red Planet?","Mercury","Venus","Mars","Jupiter",C
1,"What is the center of an atom called?","Nucleus","Electron","Proton","Neutron",A
1,"Which gas do plants absorb from the atmosphere?","Oxygen","Carbon Dioxide","Nitrogen","Hydrogen",B
1,"What force keeps us on the ground?","Magnetism","Gravity","Friction","Inertia",B
1,"What is the boiling point of water in Celsius?","50°C","75°C","100°C","150°C",C
1,"Which vitamin is produced when a person is exposed to sunlight?","Vitamin A","Vitamin B","Vitamin C","Vitamin D",D
1,"What is the main gas in the Earth's atmosphere?","Oxygen","Hydrogen","Nitrogen","Carbon Dioxide",C
1,"What is the chemical symbol for gold?","Au","Ag","Gd","Go",A
1,"What organ pumps blood throughout the body?","Brain","Heart","Liver","Kidney",B
1,"What is the basic unit of life?","Cell","Atom","Molecule","Tissue",A
1,"Which planet is known for its rings?","Mars","Saturn","Jupiter","Neptune",B
1,"What is the process by which plants make their food?","Respiration","Photosynthesis","Digestion","Transpiration",B
1,"What gas is essential for human respiration?","Carbon Dioxide","Nitrogen","Oxygen","Helium",C
1,"Which planet is closest to the Sun?","Mercury","Venus","Earth","Mars",A
1,"What is the hardest natural substance on Earth?","Gold","Diamond","Iron","Quartz",B
1,"Which organ is responsible for filtering blood?","Lungs","Kidneys","Heart","Stomach",B
1,"What type of energy is stored in food?","Chemical energy","Kinetic energy","Thermal energy","Nuclear energy",A
1,"What is the unit of electrical resistance?","Volt","Ampere","Ohm","Watt",C
1,"Which planet is known as the Blue Planet?","Earth","Neptune","Uranus","Saturn",A
1,"What is the force that opposes motion called?","Friction","Gravity","Inertia","Momentum",A
1,"What is the chemical symbol for sodium?","Na","S","So","N",A
1,"What is the main function of red blood cells?","Fight infection","Clot blood","Carry oxygen","Digest food",C
1,"What phenomenon causes day and night?","Earth's rotation","Earth's revolution","Moon's rotation","Sun's rotation",A
1,"What type of bond involves sharing electrons?","Ionic","Covalent","Metallic","Hydrogen",B
1,"What is the center of our solar system?","Earth","Moon","Sun","Mars",C
1,"Which element is necessary for breathing?","Nitrogen","Oxygen","Carbon Dioxide","Hydrogen",B
1,"What is the freezing point of water in Celsius?","0°C","32°C","100°C","-10°C",A
1,"Which part of the plant conducts photosynthesis?","Roots","Stem","Leaves","Flowers",C
1,"What is the boiling point of water in Fahrenheit?","100°F","212°F","32°F","451°F",B
1,"What is H2SO4 commonly known as?","Hydrochloric acid","Sulfuric acid","Nitric acid","Acetic acid",B
1,"Which gas is produced by burning fossil fuels?","Oxygen","Carbon Monoxide","Carbon Dioxide","Hydrogen",C
1,"Which process converts a solid directly to a gas?","Melting","Condensation","Sublimation","Evaporation",C
1,"What part of the human body controls balance?","Heart","Brain","Cerebellum","Lungs",C
1,"Which is the largest organ in the human body?","Liver","Skin","Heart","Brain",B
1,"What is the primary function of the cell membrane?","Store genetic information","Protect the cell","Produce energy","Control cell division",B
1,"Which vitamin is known for its role in blood clotting?","Vitamin A","Vitamin C","Vitamin D","Vitamin K",D
1,"What is the most abundant element in the universe?","Oxygen","Hydrogen","Carbon","Helium",B
1,"What type of simple machine is a lever?","Inclined plane","Wheel and axle","Pulley","Lever",D
1,"What is the chemical formula for table salt?","NaCl","KCl","CaCl2","MgCl2",A
1,"Which natural phenomenon is measured by the Beaufort scale?","Earthquakes","Wind","Rainfall","Temperature",B
1,"What is the main component of the sun?","Gas","Liquid","Solid","Plasma",D
2,"Which group on the periodic table contains the noble gases?","Group 1","Group 2","Group 18","Group 17",C
2,"What is the pH of pure water at 25°C?","7","0","14","1",A
2,"Which subatomic particle has a negative charge?","Proton","Neutron","Electron","Positron",C
2,"What is the speed of light in vacuum?","3.00 x 10^8 m/s","3.00 x 10^6 m/s","1.50 x 10^8 m/s","1.50 x 10^6 m/s",A
2,"What is the chemical formula for methane?","CH4","C2H6","CH3","C2H4",A
2,"Which process converts a solid directly into a gas?","Sublimation","Deposition","Condensation","Evaporation",A
2,"Which energy unit is often used to describe nuclear reactions?","Joule","Electronvolt","Calorie","Kilowatt-hour",B
2,"Which law states that the pressure of a gas is inversely proportional to its volume?","Boyle's Law","Charles's Law","Avogadro's Law","Newton's Law",A
2,"What is the main principle behind a hydraulic press?","Pascal's principle","Archimedes' principle","Bernoulli's principle","Newton's second law",A
2,"Which type of radiation has the shortest wavelength?","Radio waves","Microwaves","X-rays","Gamma rays",D
2,"What is the unit of frequency?","Hertz","Newton","Joule","Watt",A
2,"What is the process by which a nucleus splits into smaller nuclei?","Fusion","Fission","Decay","Transmutation",B
2,"Which scientist proposed the three laws of motion?","Albert Einstein","Isaac Newton","Galileo Galilei","Johannes Kepler",B
2,"What term describes a change in the nucleus of an atom?","Ionization","Fission","Radioactive decay","Oxidation",C
2,"What is the main component of natural gas?","Methane","Ethane","Propane","Butane",A
2,"Which branch of science deals with the structure of the Earth?","Biology","Geology","Astronomy","Physics",B
2,"What kind of energy is stored in an object due to its position?","Kinetic energy","Potential energy","Thermal energy","Chemical energy",B
2,"What does DNA stand for?","Deoxyribonucleic acid","Deoxyribose nucleic acid","Dinitrogen acid","Deoxyribonitric acid",A
2,"Which organelle is known as the powerhouse of the cell?","Nucleus","Mitochondria","Ribosomes","Chloroplast",B
2,"What is the primary pigment used in photosynthesis?","Chlorophyll","Carotenoids","Anthocyanins","Xanthophylls",A
2,"What term describes an organism that can make its own food?","Heterotroph","Autotroph","Saprotroph","Parasite",B
2,"Which system in the human body is responsible for transporting blood?","Digestive system","Respiratory system","Circulatory system","Nervous system",C
2,"Which process results in two daughter cells from one parent cell?","Meiosis","Mitosis","Binary fission","Budding",B
2,"What is the term for an organism that can survive in extreme environments?","Extremophile","Mesophile","Thermophile","Halophile",A
2,"Which molecule carries genetic instructions?","DNA","RNA","Protein","Lipid",A
2,"What is the main function of ribosomes?","Protein synthesis","Lipid synthesis","Carbohydrate breakdown","DNA replication",A
2,"What is the study of heredity called?","Genetics","Ecology","Evolution","Physiology",A
2,"Which element is most abundant in the Earth's crust?","Iron","Aluminum","Oxygen","Silicon",C
2,"What phenomenon causes light to bend as it passes through a medium?","Reflection","Refraction","Diffraction","Dispersion",B
2,"Which scientist is known for the discovery of penicillin?","Alexander Fleming","Louis Pasteur","Marie Curie","Gregor Mendel",A
2,"What is the process by which plants lose water vapor?","Transpiration","Photosynthesis","Respiration","Condensation",A
2,"Which gas is commonly used in fluorescent lights?","Neon","Argon","Krypton","Xenon",A
2,"What is the main cause of seasons on Earth?","Earth's distance from the Sun","Earth's axial tilt","Earth's orbit shape","Solar flares",B
2,"What type of celestial body is the Sun?","Planet","Star","Asteroid","Comet",B
2,"What is a system of millions or billions of stars held together by gravity called?","Galaxy","Solar system","Nebula","Constellation",A
2,"Which law relates current, voltage, and resistance?","Ohm's Law","Newton's Law","Faraday's Law","Boyle's Law",A
2,"What is the unit of electric current?","Volt","Ampere","Ohm","Watt",B
2,"Which scientist is known for the theory of evolution by natural selection?","Charles Darwin","Alfred Russel Wallace","Gregor Mendel","Carl Linnaeus",A
2,"What is the process of converting liquid into vapor called?","Condensation","Evaporation","Sublimation","Deposition",B
2,"Which part of the cell contains genetic material?","Nucleus","Cytoplasm","Cell membrane","Mitochondria",A
2,"Which organ produces insulin in the human body?","Liver","Pancreas","Kidney","Stomach",B
2,"Which instrument measures atmospheric pressure?","Thermometer","Barometer","Hygrometer","Anemometer",B 
3,"What is the Heisenberg Uncertainty Principle?","It states that energy cannot be created or destroyed","It states that the position and momentum of a particle cannot both be measured exactly at the same time","It states that mass increases with velocity","It states that time is relative",B
3,"Which element has the highest electronegativity?","Fluorine","Oxygen","Chlorine","Nitrogen",A
3,"What is the half-life of Carbon-14?","5,730 years","10,000 years","1,000 years","20,000 years",A
3,"Which type of bond is formed when electrons are transferred from one atom to another?","Covalent","Ionic","Metallic","Hydrogen",B
3,"What is the most stable allotrope of carbon at room temperature?","Graphite","Diamond","Graphene","Fullerenes",A
3,"Which particle mediates the electromagnetic force?","Gluon","Photon","W boson","Z boson",B
3,"What is the critical temperature in superconductivity?","The temperature below which a material exhibits zero electrical resistance","The temperature above which a material becomes a superconductor","The temperature at which a material melts","The temperature at which a material vaporizes",A
3,"What is the Schrödinger equation used for?","To calculate energy levels in atoms","To describe the wave function of a quantum system","To determine the speed of light","To measure gravitational force",B
3,"Which law explains the photoelectric effect?","Planck's law","Einstein's photoelectric equation","Newton's law of cooling","Boyle's law",B
3,"What is dark matter?","Ordinary matter","A form of matter that does not emit light but exerts gravitational effects","Antimatter","A type of energy",B
